collection,config,k,prefetch_limit,prefetch_mode,rescorer,recall@k,mrr@k,ndcg@k,p50_ms,p95_ms,p99_ms,qps
scifact_binary,../qdrant-load/configs/scifact/config_binary.yml,10,25,hybrid,colbert,0.86,0.4728,0.5694,63.77,127.83,344.28,53.71
scifact_binary,../qdrant-load/configs/scifact/config_binary.yml,10,50,hybrid,colbert,0.85,0.4836,0.5754,69.16,200.99,341.5,58.0
scifact_binary,../qdrant-load/configs/scifact/config_binary.yml,10,100,hybrid,colbert,0.86,0.4743,0.5706,61.78,182.48,293.65,58.92
scifact_binary,../qdrant-load/configs/scifact/config_binary.yml,20,25,hybrid,colbert,0.88,0.4779,0.5766,48.84,55.26,58.33,58.05
scifact_binary,../qdrant-load/configs/scifact/config_binary.yml,20,50,hybrid,colbert,0.9,0.4622,0.5701,50.65,155.63,164.01,58.95
scifact_binary,../qdrant-load/configs/scifact/config_binary.yml,20,100,hybrid,colbert,0.92,0.4558,0.5687,48.98,57.31,63.89,57.66
scifact_binary,../qdrant-load/configs/scifact/config_binary.yml,10,25,hybrid,cross-encoder,0.86,0.4654,0.5636,1302.53,3499.99,3600.81,0.45
scifact_binary,../qdrant-load/configs/scifact/config_binary.yml,10,50,hybrid,cross-encoder,0.87,0.4972,0.589,5107.91,7328.08,7662.23,0.2
scifact_binary,../qdrant-load/configs/scifact/config_binary.yml,10,100,hybrid,cross-encoder,0.87,0.4736,0.5709,10978.41,15174.37,20357.81,0.1
scifact_binary,../qdrant-load/configs/scifact/config_binary.yml,20,25,hybrid,cross-encoder,0.89,0.4628,0.5675,2512.53,3745.39,4133.17,0.41
scifact_binary,../qdrant-load/configs/scifact/config_binary.yml,20,50,hybrid,cross-encoder,0.92,0.4903,0.5939,5596.84,7546.44,7789.65,0.18
scifact_binary,../qdrant-load/configs/scifact/config_binary.yml,20,100,hybrid,cross-encoder,0.93,0.4513,0.5664,11007.2,14543.24,15388.72,0.1
scifact_binary,../qdrant-load/configs/scifact/config_binary.yml,10,25,hybrid,rrf,0.83,0.4239,0.5216,24.92,41.93,51.17,253.82
scifact_binary,../qdrant-load/configs/scifact/config_binary.yml,10,50,hybrid,rrf,0.83,0.4419,0.5363,25.2,27.93,31.4,292.38
scifact_binary,../qdrant-load/configs/scifact/config_binary.yml,10,100,hybrid,rrf,0.84,0.4095,0.514,25.23,27.36,31.56,266.23
scifact_binary,../qdrant-load/configs/scifact/config_binary.yml,20,25,hybrid,rrf,0.87,0.4292,0.5335,25.41,27.93,29.99,281.76
scifact_binary,../qdrant-load/configs/scifact/config_binary.yml,20,50,hybrid,rrf,0.88,0.4522,0.5541,25.27,30.47,36.04,245.65
scifact_binary,../qdrant-load/configs/scifact/config_binary.yml,20,100,hybrid,rrf,0.88,0.4086,0.5213,26.17,29.79,32.94,271.28
scifact_binary,../qdrant-load/configs/scifact/config_binary.yml,10,25,sparseonly,colbert,0.84,0.4965,0.5819,38.76,46.84,58.08,65.41
scifact_binary,../qdrant-load/configs/scifact/config_binary.yml,10,50,sparseonly,colbert,0.88,0.4698,0.5716,40.0,51.13,71.5,64.73
scifact_binary,../qdrant-load/configs/scifact/config_binary.yml,10,100,sparseonly,colbert,0.86,0.4625,0.5616,42.16,47.42,54.93,61.1
scifact_binary,../qdrant-load/configs/scifact/config_binary.yml,20,25,sparseonly,colbert,0.86,0.4979,0.5873,40.88,48.22,56.44,65.82
scifact_binary,../qdrant-load/configs/scifact/config_binary.yml,20,50,sparseonly,colbert,0.89,0.4934,0.5916,42.26,51.24,66.16,65.61
scifact_binary,../qdrant-load/configs/scifact/config_binary.yml,20,100,sparseonly,colbert,0.9,0.4844,0.5866,42.98,50.88,60.15,65.69
scifact_binary,../qdrant-load/configs/scifact/config_binary.yml,10,25,sparseonly,cross-encoder,0.86,0.4637,0.5622,1348.6,3775.05,4795.56,0.48
