collection,config,k,prefetch_limit,prefetch_mode,rescorer,recall@k,mrr@k,ndcg@k,p50_ms,p95_ms,p99_ms,qps
test_binary,../qdrant-load/configs/config_binary.yml,10,25,hybrid,colbert,0.94,0.7147,0.7701,132.65,306.86,591.09,48.93
test_binary,../qdrant-load/configs/config_binary.yml,10,50,hybrid,colbert,0.954,0.7149,0.7734,62.92,306.96,410.03,62.61
test_binary,../qdrant-load/configs/config_binary.yml,10,100,hybrid,colbert,0.942,0.7101,0.7669,54.03,307.32,597.74,63.04
test_binary,../qdrant-load/configs/config_binary.yml,20,25,hybrid,colbert,0.96,0.7165,0.7756,110.5,306.36,451.37,62.5
test_binary,../qdrant-load/configs/config_binary.yml,20,50,hybrid,colbert,0.972,0.7159,0.7777,110.5,270.64,600.23,62.59
test_binary,../qdrant-load/configs/config_binary.yml,20,100,hybrid,colbert,0.966,0.715,0.7758,109.17,269.0,840.32,59.81
test_binary,../qdrant-load/configs/config_binary.yml,10,25,hybrid,cross-encoder,0.95,0.7145,0.7721,331.3,812.84,912.25,2.18
test_binary,../qdrant-load/configs/config_binary.yml,10,50,hybrid,cross-encoder,0.958,0.7167,0.7756,906.38,2057.07,2516.47,0.9
test_binary,../qdrant-load/configs/config_binary.yml,10,100,hybrid,cross-encoder,0.954,0.7159,0.7741,2021.02,3994.81,4719.93,0.44
test_binary,../qdrant-load/configs/config_binary.yml,20,25,hybrid,cross-encoder,0.96,0.7152,0.7746,434.06,909.52,1102.08,2.02
test_binary,../qdrant-load/configs/config_binary.yml,20,50,hybrid,cross-encoder,0.97,0.7176,0.7787,1138.18,2047.01,2419.42,0.85
test_binary,../qdrant-load/configs/config_binary.yml,20,100,hybrid,cross-encoder,0.974,0.7173,0.7792,2280.42,4049.55,4391.32,0.43
test_binary,../qdrant-load/configs/config_binary.yml,10,25,hybrid,rrf,0.934,0.647,0.7167,27.75,31.81,37.73,251.37
test_binary,../qdrant-load/configs/config_binary.yml,10,50,hybrid,rrf,0.934,0.6424,0.7131,27.75,30.72,38.62,204.81
test_binary,../qdrant-load/configs/config_binary.yml,10,100,hybrid,rrf,0.934,0.6526,0.7206,27.97,31.42,37.78,223.81
test_binary,../qdrant-load/configs/config_binary.yml,20,25,hybrid,rrf,0.956,0.6432,0.7182,70.69,82.9,90.66,120.28
test_binary,../qdrant-load/configs/config_binary.yml,20,50,hybrid,rrf,0.954,0.6474,0.7209,71.01,88.83,173.55,108.6
test_binary,../qdrant-load/configs/config_binary.yml,20,100,hybrid,rrf,0.952,0.6465,0.7198,71.59,89.66,91.45,109.28
test_binary,../qdrant-load/configs/config_binary.yml,10,25,sparseonly,colbert,0.876,0.6779,0.7265,48.52,90.17,116.39,70.56
test_binary,../qdrant-load/configs/config_binary.yml,10,50,sparseonly,colbert,0.892,0.687,0.7374,70.26,102.55,212.35,70.76
test_binary,../qdrant-load/configs/config_binary.yml,10,100,sparseonly,colbert,0.914,0.6998,0.7524,67.33,115.18,206.13,70.46
test_binary,../qdrant-load/configs/config_binary.yml,20,25,sparseonly,colbert,0.882,0.6785,0.7282,79.33,142.33,243.26,70.13
